fecha,cafeteria_id,producto,clima,dia_semana,es_finde,real,predicho,error
2024-10-01,Ade_c1,Cappuccino,frío extremo,Tuesday,0,65.0,59.11869845802586,5.881301541974139
2024-10-01,Ade_c1,Cold Brew,frío extremo,Tuesday,0,9.0,15.446898149416135,-6.4468981494161355
2024-10-01,Ade_c1,Espresso,frío extremo,Tuesday,0,25.0,15.493667851339623,9.506332148660377
2024-10-01,Ade_c1,Flat White,frío extremo,Tuesday,0,70.0,74.52770414133397,-4.52770414133397
2024-10-01,Ade_c1,Latte,frío extremo,Tuesday,0,47.0,59.37608606472407,-12.37608606472407
2024-10-01,Ade_c1,Mocha,frío extremo,Tuesday,0,64.0,72.89728737612519,-8.897287376125192
2024-10-01,Ade_c2,Cappuccino,parcialmente nublado,Tuesday,0,103.0,97.69037690320742,5.309623096792578
2024-10-01,Ade_c2,Cold Brew,parcialmente nublado,Tuesday,0,41.0,40.163913450870524,0.836086549129476
2024-10-01,Ade_c2,Espresso,parcialmente nublado,Tuesday,0,16.0,20.05696059471172,-4.056960594711722
2024-10-01,Ade_c2,Flat White,parcialmente nublado,Tuesday,0,148.0,118.6100916733826,29.3899083266174
2024-10-01,Ade_c2,Latte,parcialmente nublado,Tuesday,0,82.0,79.13097511910827,2.869024880891729
2024-10-01,Ade_c2,Mocha,parcialmente nublado,Tuesday,0,40.0,40.17353718983989,-0.17353718983989097
2024-10-01,Ade_c3,Cappuccino,frío extremo,Tuesday,0,57.0,59.95376857241824,-2.953768572418241
2024-10-01,Ade_c3,Cold Brew,frío extremo,Tuesday,0,9.0,15.323522929063621,-6.323522929063621
2024-10-01,Ade_c3,Espresso,frío extremo,Tuesday,0,20.0,15.338777789236428,4.661222210763572
2024-10-01,Ade_c3,Flat White,frío extremo,Tuesday,0,57.0,73.81626430318987,-16.816264303189868
2024-10-01,Ade_c3,Latte,frío extremo,Tuesday,0,45.0,58.89862035622549,-13.898620356225493
2024-10-01,Ade_c3,Mocha,frío extremo,Tuesday,0,71.0,72.83276723849336,-1.8327672384933607
2024-10-01,Ade_c4,Cappuccino,tormenta,Tuesday,0,74.0,72.19358409150507,1.8064159084949267
2024-10-01,Ade_c4,Cold Brew,tormenta,Tuesday,0,30.0,29.556934709191037,0.4430652908089634
2024-10-01,Ade_c4,Espresso,tormenta,Tuesday,0,13.0,15.145373892074158,-2.145373892074158
2024-10-01,Ade_c4,Flat White,tormenta,Tuesday,0,65.0,86.72625711772612,-21.72625711772612
2024-10-01,Ade_c4,Latte,tormenta,Tuesday,0,60.0,58.05753190563845,1.9424680943615513
2024-10-01,Ade_c4,Mocha,tormenta,Tuesday,0,16.0,29.17505089865942,-13.175050898659421
2024-10-01,Bri_c1,Cappuccino,tormenta,Tuesday,0,63.0,70.99615026195326,-7.996150261953261
2024-10-01,Bri_c1,Cold Brew,tormenta,Tuesday,0,22.0,27.886906199462793,-5.886906199462793
2024-10-01,Bri_c1,Espresso,tormenta,Tuesday,0,17.0,14.246526260270207,2.7534737397297935
2024-10-01,Bri_c1,Flat White,tormenta,Tuesday,0,54.0,86.09087274809542,-32.09087274809542
2024-10-01,Bri_c1,Latte,tormenta,Tuesday,0,40.0,57.5994174330306,-17.599417433030602
2024-10-01,Bri_c1,Mocha,tormenta,Tuesday,0,10.0,27.48246579781661,-17.48246579781661
2024-10-01,Bri_c10,Cappuccino,lluvia,Tuesday,0,113.0,73.45010639708617,39.549893602913826
2024-10-01,Bri_c10,Cold Brew,lluvia,Tuesday,0,41.0,29.536607348026262,11.463392651973738
2024-10-01,Bri_c10,Espresso,lluvia,Tuesday,0,17.0,15.26293109430036,1.7370689056996405
2024-10-01,Bri_c10,Flat White,lluvia,Tuesday,0,78.0,85.05302865712005,-7.053028657120052
2024-10-01,Bri_c10,Latte,lluvia,Tuesday,0,79.0,58.996786184123174,20.003213815876826
2024-10-01,Bri_c10,Mocha,lluvia,Tuesday,0,30.0,29.722520163629664,0.27747983637033613
2024-10-01,Bri_c2,Cappuccino,calor extremo,Tuesday,0,65.0,59.40140185562323,5.598598144376773
2024-10-01,Bri_c2,Cold Brew,calor extremo,Tuesday,0,131.0,139.36969855033217,-8.369698550332174
2024-10-01,Bri_c2,Espresso,calor extremo,Tuesday,0,21.0,20.02991252855696,0.9700874714430405
2024-10-01,Bri_c2,Flat White,calor extremo,Tuesday,0,70.0,78.55518606027103,-8.555186060271026
2024-10-01,Bri_c2,Latte,calor extremo,Tuesday,0,65.0,59.95510230137323,5.0448976986267695
2024-10-01,Bri_c2,Mocha,calor extremo,Tuesday,0,45.0,41.526549865895674,3.4734501341043256
2024-10-01,Bri_c3,Cappuccino,soleado,Tuesday,0,71.0,97.37825744264033,-26.378257442640333
2024-10-01,Bri_c3,Cold Brew,soleado,Tuesday,0,36.0,39.34266991279644,-3.3426699127964383
2024-10-01,Bri_c3,Espresso,soleado,Tuesday,0,23.0,19.524331722822286,3.4756682771777143
2024-10-01,Bri_c3,Flat White,soleado,Tuesday,0,104.0,117.92938454747554,-13.929384547475536
2024-10-01,Bri_c3,Latte,soleado,Tuesday,0,79.0,77.96938938457353,1.0306106154264683
2024-10-01,Bri_c3,Mocha,soleado,Tuesday,0,26.0,39.36898753798903,-13.368987537989028
2024-10-01,Bri_c4,Cappuccino,soleado,Tuesday,0,102.0,98.33345146300395,3.6665485369960464
2024-10-01,Bri_c4,Cold Brew,soleado,Tuesday,0,44.0,39.688544151287466,4.311455848712534
2024-10-01,Bri_c4,Espresso,soleado,Tuesday,0,20.0,19.885749827816717,0.11425017218328293
2024-10-01,Bri_c4,Flat White,soleado,Tuesday,0,128.0,118.52097812670152,9.479021873298478
2024-10-01,Bri_c4,Latte,soleado,Tuesday,0,76.0,78.4918965807729,-2.4918965807729023
2024-10-01,Bri_c4,Mocha,soleado,Tuesday,0,42.0,39.7271902685272,2.2728097314727975
2024-10-01,Bri_c5,Cappuccino,soleado,Tuesday,0,105.0,98.01586196672432,6.984138033275684
2024-10-01,Bri_c5,Cold Brew,soleado,Tuesday,0,61.0,39.688544151287466,21.311455848712534
2024-10-01,Bri_c5,Espresso,soleado,Tuesday,0,19.0,19.885749827816717,-0.8857498278167171
2024-10-01,Bri_c5,Flat White,soleado,Tuesday,0,103.0,119.14380843336731,-16.14380843336731
2024-10-01,Bri_c5,Latte,soleado,Tuesday,0,87.0,78.49531895624177,8.504681043758225
2024-10-01,Bri_c5,Mocha,soleado,Tuesday,0,36.0,39.714861776480056,-3.714861776480056
2024-10-01,Bri_c6,Cappuccino,frío extremo,Tuesday,0,78.0,58.488362192639464,19.511637807360536
2024-10-01,Bri_c6,Cold Brew,frío extremo,Tuesday,0,10.0,15.29200808731294,-5.29200808731294
2024-10-01,Bri_c6,Espresso,frío extremo,Tuesday,0,15.0,15.338777789236428,-0.33877778923642765
2024-10-01,Bri_c6,Flat White,frío extremo,Tuesday,0,90.0,73.78474946143919,16.21525053856081
2024-10-01,Bri_c6,Latte,frío extremo,Tuesday,0,78.0,58.86710551447481,19.132894485525192
2024-10-01,Bri_c6,Mocha,frío extremo,Tuesday,0,90.0,72.80125239674268,17.198747603257317
2024-10-01,Bri_c7,Cappuccino,soleado,Tuesday,0,118.0,98.25349636127291,19.74650363872709
2024-10-01,Bri_c7,Cold Brew,soleado,Tuesday,0,35.0,39.88848416888365,-4.88848416888365
2024-10-01,Bri_c7,Espresso,soleado,Tuesday,0,29.0,20.085689845412897,8.914310154587103
2024-10-01,Bri_c7,Flat White,soleado,Tuesday,0,114.0,122.75545583000614,-8.755455830006142
