fecha,cafeteria_id,producto,clima,dia_semana,es_finde,real,predicho,error
2024-10-01,Ade_c1,Cappuccino,frío extremo,Tuesday,0,65.0,58.93138613556195,6.068613864438049
2024-10-01,Ade_c1,Cold Brew,frío extremo,Tuesday,0,9.0,14.573766774769503,-5.573766774769503
2024-10-01,Ade_c1,Espresso,frío extremo,Tuesday,0,25.0,14.753286875592737,10.246713124407263
2024-10-01,Ade_c1,Flat White,frío extremo,Tuesday,0,70.0,75.09674013247407,-5.096740132474068
2024-10-01,Ade_c1,Latte,frío extremo,Tuesday,0,47.0,59.136630925923804,-12.136630925923804
2024-10-01,Ade_c1,Mocha,frío extremo,Tuesday,0,64.0,73.2071445765733,-9.207144576573299
2024-10-01,Ade_c2,Cappuccino,parcialmente nublado,Tuesday,0,103.0,97.70429268251783,5.295707317482169
2024-10-01,Ade_c2,Cold Brew,parcialmente nublado,Tuesday,0,41.0,39.56251514213622,1.4374848578637796
2024-10-01,Ade_c2,Espresso,parcialmente nublado,Tuesday,0,16.0,19.890331257943412,-3.890331257943412
2024-10-01,Ade_c2,Flat White,parcialmente nublado,Tuesday,0,148.0,118.41387826347551,29.58612173652449
2024-10-01,Ade_c2,Latte,parcialmente nublado,Tuesday,0,82.0,78.72048724343321,3.2795127565667883
2024-10-01,Ade_c2,Mocha,parcialmente nublado,Tuesday,0,40.0,39.5582078186636,0.4417921813364032
2024-10-01,Ade_c3,Cappuccino,frío extremo,Tuesday,0,57.0,58.491577283913465,-1.4915772839134647
2024-10-01,Ade_c3,Cold Brew,frío extremo,Tuesday,0,9.0,14.620653282694509,-5.620653282694509
2024-10-01,Ade_c3,Espresso,frío extremo,Tuesday,0,20.0,14.459647061550765,5.540352938449235
2024-10-01,Ade_c3,Flat White,frío extremo,Tuesday,0,57.0,73.38313466862715,-16.38313466862715
2024-10-01,Ade_c3,Latte,frío extremo,Tuesday,0,45.0,58.8076575005749,-13.807657500574898
2024-10-01,Ade_c3,Mocha,frío extremo,Tuesday,0,71.0,73.10460343783991,-2.1046034378399128
2024-10-01,Ade_c4,Cappuccino,tormenta,Tuesday,0,74.0,73.17406705353048,0.8259329464695213
2024-10-01,Ade_c4,Cold Brew,tormenta,Tuesday,0,30.0,29.359674206401824,0.6403257935981763
2024-10-01,Ade_c4,Espresso,tormenta,Tuesday,0,13.0,14.150310812900182,-1.150310812900182
2024-10-01,Ade_c4,Flat White,tormenta,Tuesday,0,65.0,84.96320998042894,-19.963209980428942
2024-10-01,Ade_c4,Latte,tormenta,Tuesday,0,60.0,56.52784202638205,3.4721579736179535
2024-10-01,Ade_c4,Mocha,tormenta,Tuesday,0,16.0,28.884163759513953,-12.884163759513953
2024-10-01,Bri_c1,Cappuccino,tormenta,Tuesday,0,63.0,71.63372859221225,-8.63372859221225
2024-10-01,Bri_c1,Cold Brew,tormenta,Tuesday,0,22.0,29.359674206401824,-7.359674206401824
2024-10-01,Bri_c1,Espresso,tormenta,Tuesday,0,17.0,14.437327633129685,2.5626723668703146
2024-10-01,Bri_c1,Flat White,tormenta,Tuesday,0,54.0,86.56325398851493,-32.56325398851493
2024-10-01,Bri_c1,Latte,tormenta,Tuesday,0,40.0,59.64845341949099,-19.64845341949099
2024-10-01,Bri_c1,Mocha,tormenta,Tuesday,0,10.0,28.884163759513953,-18.884163759513953
2024-10-01,Bri_c10,Cappuccino,lluvia,Tuesday,0,113.0,73.10254195232692,39.897458047673084
2024-10-01,Bri_c10,Cold Brew,lluvia,Tuesday,0,41.0,29.677287986882007,11.322712013117993
2024-10-01,Bri_c10,Espresso,lluvia,Tuesday,0,17.0,13.543811461267559,3.456188538732441
2024-10-01,Bri_c10,Flat White,lluvia,Tuesday,0,78.0,85.01244804240473,-7.012448042404728
2024-10-01,Bri_c10,Latte,lluvia,Tuesday,0,79.0,54.88135434113762,24.118645658862377
2024-10-01,Bri_c10,Mocha,lluvia,Tuesday,0,30.0,29.464320334521926,0.5356796654780744
2024-10-01,Bri_c2,Cappuccino,calor extremo,Tuesday,0,65.0,58.830207633711325,6.169792366288675
2024-10-01,Bri_c2,Cold Brew,calor extremo,Tuesday,0,131.0,139.74802328453487,-8.748023284534867
2024-10-01,Bri_c2,Espresso,calor extremo,Tuesday,0,21.0,19.801100697028545,1.198899302971455
2024-10-01,Bri_c2,Flat White,calor extremo,Tuesday,0,70.0,78.12344960453247,-8.123449604532468
2024-10-01,Bri_c2,Latte,calor extremo,Tuesday,0,65.0,59.670060769127595,5.329939230872405
2024-10-01,Bri_c2,Mocha,calor extremo,Tuesday,0,45.0,40.07556417329849,4.924435826701512
2024-10-01,Bri_c3,Cappuccino,soleado,Tuesday,0,71.0,98.380565962457,-27.380565962457
2024-10-01,Bri_c3,Cold Brew,soleado,Tuesday,0,36.0,39.56251514213622,-3.5625151421362204
2024-10-01,Bri_c3,Espresso,soleado,Tuesday,0,23.0,19.568080954079264,3.4319190459207363
2024-10-01,Bri_c3,Flat White,soleado,Tuesday,0,104.0,118.56123495251919,-14.561234952519186
2024-10-01,Bri_c3,Latte,soleado,Tuesday,0,79.0,78.79063916918402,0.20936083081598156
2024-10-01,Bri_c3,Mocha,soleado,Tuesday,0,26.0,39.5582078186636,-13.558207818663597
2024-10-01,Bri_c4,Cappuccino,soleado,Tuesday,0,102.0,98.37540223847134,3.624597761528662
2024-10-01,Bri_c4,Cold Brew,soleado,Tuesday,0,44.0,39.56251514213622,4.4374848578637796
2024-10-01,Bri_c4,Espresso,soleado,Tuesday,0,20.0,19.95778772900771,0.04221227099229097
2024-10-01,Bri_c4,Flat White,soleado,Tuesday,0,128.0,118.27396715994502,9.726032840054984
2024-10-01,Bri_c4,Latte,soleado,Tuesday,0,76.0,78.69242166777796,-2.692421667777964
2024-10-01,Bri_c4,Mocha,soleado,Tuesday,0,42.0,39.5582078186636,2.441792181336403
2024-10-01,Bri_c5,Cappuccino,soleado,Tuesday,0,105.0,98.38638999030655,6.613610009693446
2024-10-01,Bri_c5,Cold Brew,soleado,Tuesday,0,61.0,39.56251514213622,21.43748485786378
2024-10-01,Bri_c5,Espresso,soleado,Tuesday,0,19.0,19.829561962681144,-0.8295619626811437
2024-10-01,Bri_c5,Flat White,soleado,Tuesday,0,103.0,118.65421168357838,-15.654211683578382
2024-10-01,Bri_c5,Latte,soleado,Tuesday,0,87.0,78.72891852267016,8.271081477329844
2024-10-01,Bri_c5,Mocha,soleado,Tuesday,0,36.0,39.5582078186636,-3.558207818663597
2024-10-01,Bri_c6,Cappuccino,frío extremo,Tuesday,0,78.0,58.02865196448796,19.971348035512037
2024-10-01,Bri_c6,Cold Brew,frío extremo,Tuesday,0,10.0,14.631968133239328,-4.631968133239328
2024-10-01,Bri_c6,Espresso,frío extremo,Tuesday,0,15.0,14.751498840789996,0.24850115921000437
2024-10-01,Bri_c6,Flat White,frío extremo,Tuesday,0,90.0,73.44696287583223,16.553037124167773
2024-10-01,Bri_c6,Latte,frío extremo,Tuesday,0,78.0,58.51789847995441,19.48210152004559
2024-10-01,Bri_c6,Mocha,frío extremo,Tuesday,0,90.0,73.12202953884709,16.877970461152913
2024-10-01,Bri_c7,Cappuccino,soleado,Tuesday,0,118.0,98.40725358218455,19.592746417815448
2024-10-01,Bri_c7,Cold Brew,soleado,Tuesday,0,35.0,39.56251514213622,-4.5625151421362204
2024-10-01,Bri_c7,Espresso,soleado,Tuesday,0,29.0,19.873103939763475,9.126896060236525
2024-10-01,Bri_c7,Flat White,soleado,Tuesday,0,114.0,118.76234139591236,-4.762341395912358
2024-10-01,Bri_c7,Latte,soleado,Tuesday,0,112.0,78.77389542589479,33.22610457410521
2024-10-01,Bri_c7,Mocha,soleado,Tuesday,0,45.0,39.5582078186636,5.441792181336403
2024-10-01,Bri_c8,Cappuccino,soleado,Tuesday,0,84.0,98.31367263809209,-14.313672638092086
2024-10-01,Bri_c8,Cold Brew,soleado,Tuesday,0,23.0,39.56251514213622,-16.56251514213622
2024-10-01,Bri_c8,Espresso,soleado,Tuesday,0,17.0,19.772660828843748,-2.7726608288437475
2024-10-01,Bri_c8,Flat White,soleado,Tuesday,0,84.0,118.63455564785384,-34.634555647853844
2024-10-01,Bri_c8,Latte,soleado,Tuesday,0,95.0,78.72891852267016,16.271081477329844
2024-10-01,Bri_c8,Mocha,soleado,Tuesday,0,28.0,39.5582078186636,-11.558207818663597
2024-10-01,Bri_c9,Cappuccino,calor extremo,Tuesday,0,68.0,58.66087063301877,9.339129366981233
2024-10-01,Bri_c9,Cold Brew,calor extremo,Tuesday,0,141.0,136.24351560238884,4.75648439761116
2024-10-01,Bri_c9,Espresso,calor extremo,Tuesday,0,17.0,19.803583450001653,-2.8035834500016534
